age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30.0,8.0,1,2.0,0,0.0684554569737319,0,0,1.0,19,10,0.024826216484607744,1,0.0,0,,0
33.0,6.0,1,1.0,0,0.1087502181178776,1,1,1.0,11,5,0.07149950347567031,1,0.3899082568807339,4,0.0,0
35.0,0.0,0,0.0,0,0.06258976389578662,1,0,1.0,16,4,0.05991393578285336,1,0.3795871559633027,1,0.0,0
30.0,0.0,1,0.0,0,0.06428101636219648,1,1,,3,6,0.06454816285998012,4,0.0,0,,0
59.0,3.0,1,1.0,0,0.04446920175568113,1,0,,5,5,0.07348560079443893,1,0.0,0,,0
35.0,0.0,0,0.0,0,0.05449591280653951,0,0,1.0,23,2,0.04534922211188348,2,0.2029816513761468,3,0.0,0
36.0,7.0,1,0.0,0,0.048589951812727336,1,0,1.0,14,5,0.11155246607083748,1,0.3795871559633027,2,1.0,0
39.0,1.0,1,1.0,0,0.046442329633159286,1,0,1.0,6,5,0.04865938430983118,2,0.0,0,,0
41.0,2.0,1,0.0,0,0.04743560489120952,1,0,,14,5,0.017543859649122806,2,0.0,0,,0
43.0,6.0,1,2.0,0,0.0432880095569187,1,1,1.0,17,4,0.10228401191658393,1,0.16972477064220184,2,0.0,0
39.0,6.0,1,1.0,0,0.17029301620112486,1,0,,20,5,0.08904336312479312,1,0.0,0,,0
43.0,5.0,1,1.0,0,0.04801277835196843,1,0,1.0,17,4,0.036080767957629926,2,0.0,0,,0
36.0,1.0,1,0.0,0,0.05935490798781225,0,0,1.0,13,8,0.10724925521350546,2,0.0,0,,0
,10.0,0,1.0,0,0.05120736634407592,0,0,1.0,30,4,0.08507116848725588,1,0.0,0,,1
31.0,3.0,1,1.0,0,0.04930135165970927,1,1,1.0,29,1,0.028136378682555446,1,0.2775229357798165,1,0.0,0
40.0,0.0,1,0.0,0,0.0470731936484074,0,1,1.0,29,8,0.06123800066203244,2,0.0,0,,0
56.0,1.0,1,1.0,0,0.09913960886431054,0,0,1.0,27,8,0.07778881165177094,5,0.0,0,,0
37.0,5.0,0,0.0,0,0.07556945544355109,1,0,1.0,20,4,0.036411784177424696,1,0.17545871559633028,2,0.0,0
25.0,3.0,0,2.0,0,0.04150279862015275,1,0,,23,5,0.0814299900695134,1,0.0,0,,0
31.0,6.0,1,1.0,0,0.04624099005382478,0,0,1.0,7,7,0.04766633565044688,1,0.17545871559633028,1,1.0,0
38.0,0.0,1,,0,0.04446920175568113,1,0,1.0,18,11,0.030453492221118837,2,0.0,0,,0
42.0,0.0,1,0.0,0,0.044683963973637934,0,0,1.0,19,11,0.04501820589208872,3,0.0,0,,0
44.0,6.0,0,1.0,0,0.04589200144964497,0,0,,12,6,0.034756703078450836,2,0.0,0,,0
44.0,2.0,1,1.0,0,0.04571750714755507,0,0,1.0,7,7,0.04005296259516716,2,0.0,0,,0
26.0,9.0,1,0.0,0,0.051757694527590235,0,0,1.0,30,1,0.05461767626613704,3,0.0,0,,0
41.0,0.0,1,0.0,0,0.12343458477067422,0,0,1.0,20,11,0.05892088712346905,2,0.0,0,,0
55.0,3.0,1,2.0,0,0.05288519617186346,1,0,,5,5,0.0804369414101291,1,0.0,0,,0
